Name,Image_URL,Bio,Instagram,YouTube
Taylor Swift,https://cdn.prod.website-files.com/61e1db1c178256e11be974b0/63f91e8829fbd0aaf9de4cb8_htygWn9bAtmW8KF52-4zwtXFzTwiA9dfZ4Q_custom_logo.png,"Born on December 13, 1989, Taylor Swift is a renowned American singer-songwriter known for her narrative songwriting and genre versatility. She began her career in country music before transitioning to pop and indie folk. Swift has won numerous awards, including 14 Grammy Awards, and is the first artist to win the Grammy for Album of the Year four times. Her albums like ""1989,"" ""Reputation,"" and ""Folklore"" have been critically acclaimed and commercially successful.",instagram.com/taylorswift,youtube.com/user/taylorswift
Kanye West,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kanye_West_at_the_2009_Tribeca_Film_Festival_%28crop_2%29.jpg/1200px-Kanye_West_at_the_2009_Tribeca_Film_Festival_%28crop_2%29.jpg,"Kanye West, born on June 8, 1977, is an influential American rapper, producer, and fashion designer. Known for his innovative music and outspoken personality, he has released critically acclaimed albums such as ""The College Dropout,"" ""My Beautiful Dark Twisted Fantasy,"" and ""Yeezus."" West has won 24 Grammy Awards and is also recognized for his Yeezy fashion line. His impact on both music and fashion has been profound and often controversial.",instagram.com/kanyewest,youtube.com/user/kanyewest
MrBeast,https://upload.wikimedia.org/wikipedia/commons/c/ce/MrBeast_2023_%28cropped%29.jpg,"Born James Stephen Donaldson on May 7, 1998, MrBeast is a popular YouTuber known for his elaborate challenges and philanthropic stunts. He has amassed over 330 million subscribers across his channels and is known for videos like ""I Gave $1,000,000 To Random People."" MrBeast has also launched successful ventures like MrBeast Burger and Feastables. His charitable initiatives, such as Team Trees and Team Seas, have raised millions for environmental causes.",instagram.com/mrbeast,youtube.com/user/mrbeast6000
The Weeknd,https://upload.wikimedia.org/wikipedia/commons/9/95/The_Weeknd_Cannes_2023.png,"Abel Makkonen Tesfaye, known professionally as The Weeknd, was born on February 16, 1990. He is a Canadian singer-songwriter known for his unique voice and dark, moody R&B music. His albums ""Beauty Behind the Madness,"" ""Starboy,"" and ""After Hours"" have topped charts worldwide. The Weeknd has won four Grammy Awards and is known for hits like ""Blinding Lights"" and ""Can't Feel My Face.""",instagram.com/theweeknd,youtube.com/user/xoxxxoooxo
Justin Bieber,https://media.gettyimages.com/id/452816718/photo/los-angeles-ca-singer-songwriter-justin-bieber-attends-the-2014-young-hollywood-awards-brought.jpg?s=612x612&w=gi&k=20&c=w6Ae-QIytODjSoZPkJ7xLxhxMjp2qn51weFqKjTYgRM=,"Justin Bieber, born on March 1, 1994, is a Canadian pop singer who gained fame as a teenager with hits like ""Baby"" and ""One Time."" Discovered on YouTube, he quickly became a global sensation. Bieber has released several successful albums, including ""Purpose"" and ""Justice,"" and has won numerous awards, including a Grammy. His personal life and marriage to Hailey Baldwin have also kept him in the public eye.",instagram.com/justinbieber,youtube.com/user/kidrauhl
Jake Paul,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtkPLMehAYn8Hr2rJr9Wro_yPXJF5obZgUfA&s,"Born on January 17, 1997, Jake Paul is an American social media personality, actor, and professional boxer. He first gained fame on Vine and later on YouTube with his prank videos and vlogs. Paul has transitioned into boxing, where he has fought and won against several high-profile opponents. He is also known for his controversial antics and high-profile feuds.",instagram.com/jakepaul,youtube.com/user/JakePaulProductions
Cardi B,https://cdn.britannica.com/85/229185-050-3CC1C44E/Cardi-B-2019.jpg,"Cardi B, born Belcalis Marlenis Almánzar on October 11, 1992, is an American rapper and songwriter known for her bold personality and hit songs. She gained fame with her debut single ""Bodak Yellow"" and her album ""Invasion of Privacy,"" which won a Grammy for Best Rap Album. Cardi B is also known for her outspoken nature and presence on social media. She has multiple diamond-certified singles and is a prominent figure in contemporary hip-hop.",instagram.com/iamcardib,https://www.youtube.com/@cardib
Drake,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxQb5ghh6R_tvOSTk_HfwIKcN3gXKlvWP2pQ&s,"Aubrey Drake Graham, born on October 24, 1986, is a Canadian rapper, singer, and actor. He first gained fame on the TV show ""Degrassi: The Next Generation"" before launching a successful music career. Drake has released numerous chart-topping albums, including ""Take Care,"" ""Views,"" and ""Scorpion,"" and has won five Grammy Awards. He is known for his versatile music style and significant influence on modern hip-hop.",instagram.com/champagnepapi,youtube.com/user/DrakeOfficial
P Diddy,https://podcast.posttv.com/series/20240410/t_1712785817380_name_diddy_pic.jpeg,"Sean Combs, known by stage names such as Puff Daddy, P. Diddy, and Diddy, was born on November 4, 1969. He is a rapper, producer, and entrepreneur who founded Bad Boy Records, launching the careers of artists like The Notorious B.I.G. and Mary J. Blige. Diddy has won three Grammy Awards and is known for his business ventures, including the Sean John clothing line and Ciroc vodka. He is a significant figure in hip-hop and business.",instagram.com/diddy,youtube.com/user/DiddyTV
Rihanna,https://assets.vogue.com/photos/63e67c2653cf7705e1e06f3a/4:3/w_2560%2Cc_limit/GettyImages-1246958447.jpg,"Robyn Rihanna Fenty, born on February 20, 1988, is a Barbadian singer, actress, and businesswoman. She gained fame with hits like ""Umbrella,"" ""We Found Love,"" and ""Diamonds."" Rihanna has won nine Grammy Awards and is also known for her successful beauty and fashion lines, Fenty Beauty and Savage X Fenty. She is one of the best-selling music artists of all time.",instagram.com/badgalriri,youtube.com/user/RihannaVEVO
Billie Eilish,https://i.iheart.com/v3/catalog/artist/31132274?ops=fit(720%2C720),"Billie Eilish, born on December 18, 2001, is an American singer-songwriter known for her unique voice and dark, introspective music. She gained fame with her debut single ""Ocean Eyes"" and her album ""When We All Fall Asleep, Where Do We Go?"". Eilish has won multiple Grammy Awards, including Album of the Year and Best New Artist. She is known for her distinctive style and impactful lyrics.",instagram.com/billieeilish,youtube.com/user/BillieEilish
Will Smith,https://hips.hearstapps.com/hmg-prod/images/will-smith-attends-varietys-creative-impact-awards-and-10-directors-to-watch-brunch-at-the-parker-palm-springs-on-january-3-2016-in-palm-springs-california-photo-by-jerod-harrisgetty-images.jpg,"Born on September 25, 1968, Will Smith is an American actor, rapper, and producer. He gained fame with the TV show ""The Fresh Prince of Bel-Air"" and has starred in numerous blockbuster films, including ""Men in Black,"" ""Independence Day,"" and ""The Pursuit of Happyness."" Smith has won several awards, including four Grammy Awards. He is also known for his music career and charismatic personality.",instagram.com/willsmith,youtube.com/user/willthebeast
Dwayne Johnson,https://m.media-amazon.com/images/M/MV5BOWUzNzIzMzQtNzMxYi00OWRiLTlhZjEtZTRjYWVkYzI4ZjMwXkEyXkFqcGc@._V1_.jpg,"Dwayne Johnson, also known as The Rock, was born on May 2, 1972. He is an American actor, producer, and former professional wrestler. Johnson gained fame in WWE before transitioning to a successful acting career with films like ""Fast & Furious"" and ""Jumanji."" He is one of the highest-paid actors in Hollywood and known for his charismatic persona.",instagram.com/therock,youtube.com/user/therock
Ariana Grande,https://upload.wikimedia.org/wikipedia/commons/b/b7/Ariana_Grande_-_Vogue_2024.png,"Ariana Grande, born on June 26, 1993, is an American singer and actress known for her powerful voice and wide vocal range. She gained fame with her role on the TV show ""Victorious"" and later launched a successful music career with hits like ""Thank U, Next"" and ""7 Rings."" Grande has won numerous awards, including two Grammy Awards. She is also known for her philanthropic efforts and advocacy.",instagram.com/arianagrande,youtube.com/user/osnapitzari
Selena Gomez,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Selena_Gomez_at_the_2024_Toronto_International_Film_Festival_10_%28cropped%29.jpg/1024px-Selena_Gomez_at_the_2024_Toronto_International_Film_Festival_10_%28cropped%29.jpg,"Born on July 22, 1992, Selena Gomez is an American singer, actress, and producer. She gained fame with her role on the Disney Channel series ""Wizards of Waverly Place"" and has released several successful albums. Gomez is known for hits like ""Come & Get It"" and ""Lose You to Love Me."" She is also involved in various philanthropic efforts and has a significant social media presence.",instagram.com/selenagomez,youtube.com/user/SelGomez
Casey Neistat,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Casey_Neistat_%40_SXSW_2017_%2833229303282%29_%28cropped%29.jpg/1024px-Casey_Neistat_%40_SXSW_2017_%2833229303282%29_%28cropped%29.jpg,"Casey Neistat, born on March 25, 1981, is an American YouTuber, filmmaker, and entrepreneur. He gained fame with his daily vlogs and creative short films on YouTube. Neistat co-founded the multimedia company Beme, which was later acquired by CNN. He is known for his innovative storytelling and influence in the digital media space.",instagram.com/caseyneistat,youtube.com/user/caseyneistat
Joe Rogan,https://i.guim.co.uk/img/media/45727c83d4615bd841d191bf4329a019ea37cd2f/1_335_2069_1242/master/2069.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=9abc3c620f00b6c4e63be993cc98e3d7,"Joe Rogan, born on August 11, 1967, is an American comedian, podcast host, and UFC commentator. He is best known for his podcast ""The Joe Rogan Experience,"" where he interviews a wide range of guests. Rogan has also had a successful career in stand-up comedy and television. His podcast is one of the most popular in the world.",instagram.com/joerogan,youtube.com/user/PowerfulJRE
Chris Brown,"https://static.standard.co.uk/2023/11/08/13/09/Chris%20Brown-xasooju6.jpeg?trim=0,52,85,56&quality=75&auto=webp&width=1000","Chris Brown, born on May 5, 1989, is an American singer, songwriter, and dancer. He gained fame with his debut single ""Run It!"" and has released several successful albums. Brown is known for his dynamic performances and hit songs like ""Forever"" and ""Look at Me Now."" He has won numerous awards, including a Grammy.",instagram.com/chrisbrownofficial,youtube.com/user/ChrisBrownTV
Lady Gaga,"https://hips.hearstapps.com/hmg-prod/images/lady-gaga-attends-the-64th-annual-grammy-awards-at-mgm-news-photo-1727455427.jpg?crop=1.00xw:0.667xh;0,0.0477xh&resize=640:*","Born Stefani Joanne Angelina Germanotta on March 28, 1986, Lady Gaga is an American singer, songwriter, and actress. She gained fame with her debut album ""The Fame"" and hits like ""Just Dance"" and ""Poker Face."" Gaga has won multiple Grammy Awards and an Academy Award for her role in ""A Star is Born."" She is known for her unique style and powerful performances.",instagram.com/ladygaga,youtube.com/user/ladygagaofficial
Kai Cenat,https://www.hollywoodreporter.com/wp-content/uploads/2023/02/D.jpg?w=1296&h=730&crop=1,"Kai Cenat, born on December 16, 2001, is an American social media personality and content creator. He is known for his entertaining and engaging content on platforms like YouTube and Twitch. Cenat has gained a large following for his humorous videos and collaborations with other influencers. He continues to grow his presence in the digital space with creative and relatable content.",instagram.com/kaicenat,youtube.com/user/KaiCenat
