Celebrity Name,Title,Link
Diddy,Implies Feds Leaked Cassie Video!!!,https://www.tmz.com/2024/10/09/diddy-team-claims-feds-leaked-cassie-beating-video/
Dr. Dre Sued,,https://www.tmz.com/2024/10/09/dr-dre-sued-former-psychiatrist-marriage-counselor-harassment/
Lil Baby,Felony Gun Charge Dropped ... After Las Vegas Arrest,https://www.tmz.com/2024/10/09/lil-baby-charges-dropped/
Go for the Goop!,,https://www.tmz.com/2024/10/09/prime-day-deals-gwyneth-paltrow-health-beauty/
Jack Doherty,Brother Backs His Post-Crash Kick Ban ... Needs to Learn His Lesson!!!,https://www.tmz.com/2024/10/09/jack-doherty-brother-michael-says-kick-ban-is-good/
"Taylor Swift, Dolly Parton",Sending Money to Hurricane Relief Efforts ... More Celebs Join in Donating,https://www.tmz.com/2024/10/09/taylor-swift-dolly-parton-donate-hurricane-relief/
Matthew McConaughey,"Alright, Alright, Alright, Kiddo!!! Gives Son Levi Pep Talk on Set of New Movie",https://www.tmz.com/2024/10/09/matthew-mcconaughey-mentors-son-on-teens-new-movie/
Donald Trump,Heads Will Roll ... After Former Prez's Mug Used as Soccer Ball,https://www.tmz.com/2024/10/09/donald-trump-head-used-as-soccer-ball-art-exhibit/
Travis Barker's Daughter,I Don't Know Enough to Vote ... Don't Care Enough to Research,https://www.tmz.com/2024/10/09/travis-barker-daughter-alabama-says-shes-not-educated-enough-to-vote/
Taylor Swift,Not Engaged to Travis Kelce ... Despite Troy Aikman's Claims,https://www.tmz.com/2024/10/09/taylor-swift-not-engaged-travis-kelce/
Robert Saleh,Lebanese Flag Not Reason For Firing ... Strictly Football,https://www.tmz.com/2024/10/09/robert-saleh-firing-unrelated-lebanon-flag/
Drake Hogestyn,'Days of Our Lives' Actor's Cause of Death Revealed,https://www.tmz.com/2024/10/09/days-of-our-lives-drake-hogestyn-cause-of-death-revealed/
Sabrina Carpenter,,https://www.tmz.com/2024/10/09/sabrina-carpenter-sexy-phillies-outfit-before-nlds-game/
BigXthaPlug,,https://www.tmz.com/2024/10/09/bigxthaplug-promises-better-music/
Donald Trump,I'm 'Basically' Honest ... Host Laughs in His Face,https://www.tmz.com/2024/10/09/donald-trump-basically-honest-podcast-host-laughs/
Creepy Video,Dog Appears To Morph Into Man!!!,https://www.tmz.com/2024/10/09/dog-morphs-into-human-creepy-video/
