Name,Title,URL,comment
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,Casey on a Thursday like it’s 2015 👏🏽👏🏽 hell yeah
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,Casey drawing life advice on construction paper gives me such 2016 daily vlog nostalgia
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,once in a while he reminds us of why hes the best at this. Editing is just unmatched
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,Casey = full of motivation + best storyteller + perfect editing + …….
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,Seeing Candace’s reaction just made me fully start crying. YAYYY!!!!!!!!!
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,Got to admit.. it made me shed a tear at the end with Candice’s reaction.
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,"Roberto is the true hero here, ran over by the shopping cart granny and still finishes at a great time 😂"
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,This guy is the fucking best. Still watching 8 years later. Killing it
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,"I’ve been following you since 2015, back when I was in high school, watching your videos to improve my English from the other side of the world. Now I&#39;m a grad student in New York, and I had the chance to cheer you on at the marathon! You probably have no idea how much those five seconds when you passed by meant to me. I guess I just wanted to say thank you for all the years of inspiration and huge congrats for achieving your dream!"
CaseyNeistat,DO HARD THINGS,https://www.youtube.com/watch?v=StMltAX0mp0,literally got the CHILLS when the &quot;great things&quot; mirror reflected the hard path. No one will ever beat Caseys creativity for storytelling. Take a bow brother
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,Welcome back <br>We missed you 😢😢🩷🩷
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,Mother is mothering ✨️💜👑
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,This made me smile so much!!! Love seeing Taylor so happy 🫶🫶🫶
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,Your the best! We love you Tay!!!!🫶
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,So adorable.  She&#39;s the cutest crazy cat lady in the world.
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,The iconic duo is back!!!! Taylor and Olivia! I will def be watching the livestream tonight!!!! I would do so much to go experience the real thing 🫶🏼🫶🏼🫶🏼🫶🏼🫶🏼
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,Only 2 months left... I sadly wasn&#39;t able to go to the eras tour but maybe I will go to another one of her tours someday! Love you Tay Tay! ❤
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,WE NEED MORE SHORTS LIKE THIS
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,YES WE MISSED YOU TAY TAY!🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻<br>I’m so excited I might see you at the tour in Toronto!🤍<br>We missed Olivia Benson too!🫶🏻
Taylor Swift,Back in the office… 😎 #MiamiTSTheErasTour,https://www.youtube.com/watch?v=g_meC49cN5k,Tay is in her “it girl” era and I’m here for it! 🙌🙌🙌
Billie Eilish,BIRDS OF A FEATHER live from Saturday Night Live,https://www.youtube.com/watch?v=-enrM2w8fvA,Nice outfit!❤
Billie Eilish,BIRDS OF A FEATHER live from Saturday Night Live,https://www.youtube.com/watch?v=-enrM2w8fvA,WOOOHOOO BILLIE THIS IS AMAZING
Billie Eilish,BIRDS OF A FEATHER live from Saturday Night Live,https://www.youtube.com/watch?v=-enrM2w8fvA,THE BEST
Billie Eilish,BIRDS OF A FEATHER live from Saturday Night Live,https://www.youtube.com/watch?v=-enrM2w8fvA,❤
Billie Eilish,BIRDS OF A FEATHER live from Saturday Night Live,https://www.youtube.com/watch?v=-enrM2w8fvA,I love you❤
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,WE FINALLY GETTING ARRESTED WITH THIS ONE 🔥🔥🔥‼️‼️‼️‼️🗣️🗣️🗣️🗣️
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,"DIDDY SPITS BARS, HE BEHIND EM NOW  ‼️‼️ 🔥🔥🔥 🗣️🗣️🗣️"
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,"First Diddy was spitting bars now he’s behind them. Which is why, THEM BARS GOING BACK IN THAT MOUTH! 🗣️🗣️🗣️🗣️🗣️🔥🔥🔥🔥"
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,WE GETTING SENTENCED TO LIFE WITH THIS ONE 🔥🔥🗣️🗣️💯🔥🗣️💯💯
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,WE NOT BEATING THE ALLEGATIONS WITH THIS ONE 🗣️🔥🗣️🔥
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,No one: why did you move to LA?<br>Diddy: kids
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,It Should Be Called The Grandpa Freak Off Album 💿💅🏽🤣🤮🤦🏽‍♀️
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,Bro went from P Diddy to P Diddler 💀🤣
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,Talking about deep and going hard is crazy Diddler 🤣🤣💀🤣💀
Diddy,The Love Album: Off The Grid Out Now,https://www.youtube.com/watch?v=2dfiFKdOfCI,WE ARE GETTING JAIL WITH BEYONCÉ WITH THIS ONE 🗣️🗣️🔥🔥🔥<br>Edit: THANK YOU BEYONCÉ FOR LET ME BREATHE
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,I feel like bro can have anybody on his stream at this point😭
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,"Man Bill Nye was always the highlight of Science class for me, I always learned the most when our teacher played his videos"
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,"At this point, He abt to bring Michael Jackson back to life for the stream😂💀"
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,I’m 42 years old he’s my childhood too. One of the main reasons I loved science.
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,Can&#39;t believe how good this turned out!
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,I’m convinced kai can get Jesus Christ on his stream😂
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,"Seriously, this video brightened my mood!"
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,How did bro not see him 😂
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,Bro walked past Kai like Joe Biden
Kai Cenat Live,Bill Nye & Kai Do Science Experiment Together,https://www.youtube.com/watch?v=LIYC1QUqacY,Cold one conducts heat better making it feel cold because it is removing heat from your finger <br>Also takes the cold away from the ice (melting it) warm one is a good  insulator
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,the fact that no one imagined this coming 😭😭😭😭
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,Pink goes good with green 💚🩷
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,&quot;WHEN YOU&#39;RE SO PRETTY THEY THINK IT MUST BE FAKE&quot; 🔥🔥🔥<br>SHE REALLY CAME WITH A KNIFE AND FIRE ON HER EYES!!!!!!!
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,&quot;It&#39;s a knife when you&#39;re so pretty they think it must be fake&quot; is my fav line
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,BRATIANA IS HERE!!! 💚🥹🫧
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,&quot;it&#39;s a knife when the mean fans hate the nice fans&quot;  DO U HEAR THAT U?YOUTUBE PEOPLE?! MOTHER ATE!!!
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,“when you’re so pretty they think it must be fake” OH SHE ATE YALL UP N DOWNNN
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,These lyrics are ICONIC your vocals everything YOUR AN ICON
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,ARI REALLY CALLED THE HATERS 😭😭
Ariana Grande,Sympathy is a knife remix out now 💚 ♡ @officialcharlixcx,https://www.youtube.com/watch?v=NNuB4uNS_ms,&quot;it&#39;s a knife when you&#39;re so pretty they think it must be fake&quot; 😂😂 a brilliant clapback!
Will Smith,can always trust ​⁠​⁠@JasDavis  to keep me safe,https://www.youtube.com/watch?v=BULvPIQweqY,@WillSmith I Love your brain and your heart... That&#39;s what makes you handsome and wealthy!!! Blessings to you and yours!!!
Will Smith,can always trust ​⁠​⁠@JasDavis  to keep me safe,https://www.youtube.com/watch?v=BULvPIQweqY,Love seeing Will back at it
Will Smith,can always trust ​⁠​⁠@JasDavis  to keep me safe,https://www.youtube.com/watch?v=BULvPIQweqY,Caution and confidence. Smart move 😊❤️
Will Smith,can always trust ​⁠​⁠@JasDavis  to keep me safe,https://www.youtube.com/watch?v=BULvPIQweqY,Will Smith is a Genius actor ❤
Will Smith,can always trust ​⁠​⁠@JasDavis  to keep me safe,https://www.youtube.com/watch?v=BULvPIQweqY,Director: “this will support 1500 lbs.<br>Will: takes one look. Engage knowledge and experience; “no it doesn’t.”
Will Smith,can always trust ​⁠​⁠@JasDavis  to keep me safe,https://www.youtube.com/watch?v=BULvPIQweqY,🫡 Big Willie Style💯🔥
